waiwai,chapter_id,entry_id,significado,meaning,WaiWai,Wai_Wai_sem_correcao,Wai_Wai_Phonemic,comment,comment_sem_correcao,comentario,comentario_sem_correcao,Referencia
awomko,10,920,terra (VB),land (vb),awomko,awom-ko,awom-ko,Means 'get up on the land'.,,Significa 'levantar -se na terra'.,,1
awomko,,,levante,,awomko,,,,,,,2
Awomko,,,levante,,Awomko,,ao omco,,,,,3
awomso,,,levantar ou encostar se no porto,,awomso,,,,,,,2
awomso,,,para levantar,,awomso,,,,,,,2
Awomso,,,levantar ou encostar se no porto,,Awomso,,ao uom so,,,,,3
Awomso,,,,,Awomso,,aom s para levantar,,,,,3
Awomu,,,levantar,,Awomu,,,,,subir; Nawom; O avião levantou vôo; Awomra ñeexi,,4
awonoso,,,te comer,,awonoso,,,,,,,2
Awonoso,,,te comer,,Awonoso,,auo no so,,,,,3
awosîn,,,menina da mesma raça sua,,awosîn,,,,,,,2
Awosîn,,,menina da mesma raça sua,,Awosîn,,ao sun,,,,,3
awoso,,,te atirar,,awoso,,,,,,,2
Awoso,,,te atirar,,Awoso,,aouo so,,,,,3
awosoken,,,seu cahará ou que tem o mesmo nome que seu,,awosoken,,,,,,,2
Awosoken,,,seu cahará ou que tem o mesmo nome que seu,,Awosoken,,auo so ken,,,,,3
awosokmuru,,,seu juelho,,awosokmuru,,,,,,,2
Awosokmuru,,,seu juelho,,Awosokmuru,,auo sob u ru,,,,,3
awosom,,,seu dono,,awosom,,,,,,,2
Awosom,,,seu dono,,Awosom,,auo som,,,,,3
awosoreñe,,,que faz você sonhar,,awosoreñe,,,,,,,2
Awosoreñe,,,que faz tu sonhar,,Awosoreñe,,ao so re ne,,,,,3
awosoreñe roro,,,que sempre faz você sonhar,,awosoreñe roro,,,,,,,2
Awosoreñe roro,,,que sempre faz tu sonhar,,Awosoreñe roro,,auó so re ne roró,,,,,3
awosotî,,,seu nome,,awosotî,,,,,,,2
Awosotî,,,seu nome,,Awosotî,,ao o sotu,,,,,3
awosoto,,,no seu sonho,,awosoto,,,,,,,2
Awosoto,,,no seu sonho,,Awosoto,,ao so tó,,,,,3
Awoto,,,"cortar (corda, cordão, pano) quebrar",,Awoto,,,,,Taira wawocesî; Vou cortar aqui; Não vou cortar; Awotoko,,4
Awowo,,,"vaporizar, emitir calor",,Awowo,,,,,Nawowona; Está emitindo calor; algo que emite calor; ,,4
Awronohka,,,"encher todo o espaço (casa, área)",,Awronohka,,,,,Tooto pen mîîmo nawronohkatîka; As pessoas a casa toda; ; ,,4
Awruta,,,"peito, blusa, meio",,Awruta,,,,,Oyawrutarî eeko; Traga-me a minha camisa; no meio; Awrtaka yimiko,,4
awrutawno poono ,6,440,camisa,shirt,awrutawno poono ,,awrutawno Φoono ,Means 'clothing for one's chest'.,,Significa 'roupas para o peito'.,,1
awsî,,,peso,,awsî,,,,,Awsîn yukuknomacoko; Olhe o peso dele; É muito pesado; Awsîmra nasî,,4
awxa,,,lado,,awxa,,,,,Awxari; o lado de alguma coisa; Está ao lado da serra; Yîîm pen yawxari (PPZD) ahrucoko,,4
awya,,,para você,,awya,,,,,,,2
Awya,,,para você,,Awya,,au ia,,,,,3
awyan,,,seu,,awyan,,,,,,,2
Awyan,,,seu,,Awyan,,aqu ian,,,,,3
awyoci,,,a linha,,awyoci,,,,,,,2
Awyoci,,,a linha,,Awyoci,,au io ti,,,,,3
Awyoci,,,alça (para segurar um objeto),,Awyoci,,,,,Awyocimra nasî; Não tem uma alça para isso; ; ,,4
Awyukunto,,,colocar contas num cordão,,Awyukunto,,,,,Kiricici wawyukuncesî; Estou colocando contas num cordão; Não estou colocando contas num cordão; Awyukuntocoko,,4
Awyuru,,,árvore cuia é boa para fazer alças de cestas,,Awyuru,,,,,,,4
axapikan,,,seu chapeu,,axapikan,,,,,,,2
Axapikan,,,seu chapeu,,Axapikan,,a xá fi can,,,,,3
axawa,1,215,areia,sand    ,axawa,,ašawa,,,,,1
Axawa,,,"areia, praia",,Axawa,,,,,,,4
Axi,,,"violentar, estuprar",,Axi,,,,,Nahxasi kra; Ele não vai violenta-la; Ele não vai violenta; ,,4
Axikwo,,,"quebrar (osso, pau",,Axikwo,,,,,etc; ); Pode ser que quebre um osso; Okrapan waxikwo okwe,,4
Axka,,,tipo de árvore da Guiana,,Axka,,,,,,,4
Axkixkima,,,arranhar como cisco de,,Axkixkima,,,,,Mewru nasî kapikara naxkixkimatho wara kica; Escrita como se uma galinha tivesse arranhado; ; ,,4
axpi,8,980,cogumelo,mushroom,axpi,,ašΦi,,,,,1
Axpi,,,cogumelo,,Axpi,,,,,fungo grande que cresce em madeira; ; ; ,,4
Axwixwika,,,"fuçar, ciscar",,Axwixwika,,,,,Naxwixwikesî kapikara; A galinha está ciscando; ; ,,4
ayama,,,te deixou sem comer,,ayama,,,,,,,2
Ayama,,,te deixou sem comer,,Ayama,,aia ma,,,,,3
Ayani,,,tucano pequeno,,Ayani,,,,,,,4
Ayi,,,assar (beiju em uma chapa de ferro),,Ayi,,,,,Oyuru wayasî; Estou assando beiju para mim; Não vou assá-lo; Ayko,,4
Ayi,,,queimar (com pimenta),,Ayi,,,,,Nayinas oco; Isso queima; Isto não queima; Tayiñem (ATZD) + (NMZD) oco,,4
Ayinto,,,apertar a corda do arco,,Ayinto,,,,,Akrapan ayintoko ñhe; Aperte a corda do seu arco; Está bem; vou apertá-lo,,4
Ayka,,,colocar remédio numa ferida,,Ayka,,,,,Oyepeřan ka waykesî; Vou colocar remédio ardente na minha ferida; Coloque remédio ardente; ,,4
ayko,5,240,assar,bake,ayko,ay-ko,ay-ko,Lit. 'bake it-imperative'.,,Literalmente. 'assar-it-imperativo'.,,1
ayopo,,,mais alto do que você,,ayopo,,,,,,,2
ayopo,,,mais que você,,ayopo,,,,,,,2
Ayopo,,,mais que você,,Ayopo,,aio fo,,,,,3
Ayopo,,,mais alto do que você,,Ayopo,,aio pó,,,,,3
ayopono,,,importante do que você,,ayopono,,,,,,,2
Ayopono,,,importante do que você,,Ayopono,,aio fo no,,,,,3
ayorî,,,seu dente,,ayorî,,,,,,,2
Ayorî,,,seu dente,,Ayorî,,aio ru,,,,,3
ayukwarîn,,,sua tapioca,,ayukwarîn,,,,,,,2
Ayukwarîn,,,sua tapioca,,Ayukwarîn,,aiu cua run,,,,,3
C,,,,,C,,,,,,,4
Caa,,,"falar à uma pessoa, com respeito",,"Caa, ca",,,,,Camra nîmtapota kopi; Ela falou abertamente (sem respeito); Ele é respeitável; ,,4
ca,,,"falar à uma pessoa, com respeito",,"Caa, ca",,,,,Camra nîmtapota kopi; Ela falou abertamente (sem respeito); Ele é respeitável; ,,4
caaca,,,titia,,caaca,,,,,,,2
caaca,,,vovó,,caaca,,,,,,,2
Caaca,,,titia,,Caaca,,tia tia,,,,,3
Caaca,,,vovó,,Caaca,,ti tia,,,,,3
Caaca,,,"avó, tia (quando falando diretamente)",,Caaca,,,,,"Caaca, awenso kmoko; Vim te ver vovó; ; ",,4
Caaka,,,"nome indígena, fem.",,Caaka,,tia ca,,,,,3
caana,,,genipapo,,caana,,,,,,,2
Caana,,,genipapo,,Caana,,tia na,,,,,3
Caana,,,pé de jenipapo (uma pequena árvore florestal),,Caana,,,,,A fruta é comestível e o suco é usado para tingir a pele; Caana yepu amahra esko; ; ,,4
Caarapa,,,pá,,Caarapa,,,,,Ocarapan; A minha pá; ; ,,4
čaarapa,8,240,pá,shovel,čaarapa,čaarapa,čaaraΦa,,,,,1
čaarapa,8,230,pá,spade,čaarapa,čaarapa,čaaraΦa,,,,,1
caayi,,,pequena faca,,"caayi, cayi",,,,,Ocayin; meu canivete; Me cortei com uma pequena faca; [Fono: Poss: -n],,4
cayi,,,pequena faca,,"caayi, cayi",,,,,Ocayin; meu canivete; Me cortei com uma pequena faca; [Fono: Poss: -n],,4
Cahcaki,,,Formiga de tamanho médio com ferroada bem dolorida,,Cahcaki,,,,,A dor da ferroada acaba logo; ; ; ,,4
cahcakî,,,espécie de tucandeira,,cahcakî,,,,,,,2
Cahcakî,,,espécie de tucandeira,,Cahcakî,,tiar tia cu,,,,,3
Caiwa,,,cacau,,Caiwa,,,,,,,4
Cak,,,som de uma flecha saindo do arco,,Cak,,,,,Cak krow; Flecha saindo do arco; Cak cucuk; Flecha saindo do arco aranhando o alvo,,4
Cakana,,,martim-pescador,,Cakana,,,,,,,4
Cakanaci,,,tipo pequeno de martim-pescador,,Cakanaci,,,,,,,4
cakarka,,,estamos cansados,,cakarka,,,,,,,2
Cakařma,,,macaco pequeno e marrom de rabo comprido,,Cakařma,Caka𝐫̂ma,,,,Veja: ciima; ; ; ,,4
Cakma,,,fazer barrento,,Cakma,,,,,Mîîmo wîmîtîcakmarî (CPD); Teria feito a parede da casa barrenta; ; ,,4
cakma,,,cair no barro,,cakma,,,,,,,4
camkî,,,não sabe,,camkî,,,,,,,2
Camkî,,,não sabe,,Camkî,,tiam cu,,,,,3
Camkî,,,"ignorante, não sabendo como alguma coisa",,Camkî,,,,,"Camkîno (NMZD) ow; Sou uma pessoa ignorante; Não, você não é ignorante; ",,4
camkîno,,,que não sabe burro,,camkîno,,,,,,,2
Camkîno,,,"que não sabe, burro",,Camkîno,,tiam cu nó,,,,,3
camkîno pîn,,,inteligente sabido.,,camkîno pîn,,,,,,,2
Camkîno pîn,,,"inteligente, sabido",,Camkîno pîn,,tiam cu no fîn,,,,,3
camkîra,,,sabe ou facil,,camkîra,,,,,,,2
Camkîra,,,sabe,,Camkîra,,tiam cura,,,,,3
camna,,,espécie de planta serve tingir com cor de vinho,,camna,,,,,,,2
Camna,,,espécie de planta serve tingir com cor de vinho,,Camna,,tiam na,,,,,3
Camna,,,árvore pequena cujas folhas são usadas para fazer tinta rocha,,Camna,,,,,Tuuwa camnaresî (VBZD); tingindo a palha de roxo; ; ,,4
Canaimo,,,árvore florestal cujos fruto é usado para corante como a caana,,Canaimo,,,,,,,4
canano,,,pintura para corpo,,canano,,,,,,,2
Canano,,,pintura para corpo,,Canano,,tia na no,,,,,3
Capa,,,cortar com uma faca,,Capa,,,,,,,4
capahno,,,área plana,,capahno,,,,,,,2
Capahno,,,área plana,,Capahno,,tia far no,,,,,3
Capape,,,"terreno plano, sem serras, morros ou vales",,Capape,,,,,Capahno (NMZD) pona kaika; Vamos onde o terreno é plano; É plano aqui; ,,4
Cara,,,"aspergir, com líquido",,Cara,,,,,,,4
Caraicarai,,,inseto que faz um som silvante a noite,,Caraicarai,,,,,,,4
Carama,,,borrifar alguma coisa com liquido,,Carama,,,,,Poono carama; Ele borrifou as roupas; Não as borrifei; ,,4
carapa,,,pá,,carapa,,,,,,,2
Carapa,,,pá,,Carapa,,Tia ra fa,,,,,3
Carara,,,Som de trovoada perto,,Carara,,,,,,,4
cararan,,,parte raso do rio,,cararan,,,,,,,2
Cararan,,,parte raso do rio,,Cararan,,tiararan,,,,,3
carata,,,tesoura,,carata,,,,,,,2
Carata,,,tesoura,,Carata,,tia ra ta,,,,,3
Carata,,,tesoura,,Carata,,,,,Ocaratan; a minha tesoura; Não tenho tesoura; ,,4
čarata,9,240,"tesoura, tesouras","scissors, shears",čarata,čarata,čarata,,,,,1
carataci,,,tesourinha,,carataci,,,,,,,2
Carataci,,,tesourinha,,Carataci,,tia ra ta ti,,,,,3
caruka,,,material para pega peixe,,caruka,,,,,,,2
Caruka,,,material para pega peixe,,Caruka,,tia r uca,,,,,3
caruma,,,nome da tribo indígena,,caruma,,,,,,,2
Caruma,,,nome da tribo indígena,,Caruma,,tia ruma,,,,,3
cawa,,,rato,,cawa,,,,,,,2
Cawa,,,rato,,Cawa,,tia ua,,,,,3
Cawa,,,Rato,,Cawa,,,,,,,4
cawana,,,"palha, para cobrir casa",,cawana,,,,,,,2
Cawana,,,"palha, para cobrir casa",,Cawana,,tia ua na,,,,,3
Cawana,,,"tipo de palmeira com folhas rijas, duras, usada antigamente para fazer roupas de dança",,Cawana,,,,,,,4
cawawa,,,barranco da margem do rio,,cawawa,,,,,,,2
Cawawa,,,barranco da margem do rio,,Cawawa,,tia ua ua,,,,,3
Cawawa,,,"um barranco muito íngreme, alto",,Cawawa,,,,,Cawawape nasî; É (barranco) muito alto; ; ,,4
čawawa,1,222,"penhasco, precipício","cliff, precipice       ",čawawa,čawawa, čawawa,,,,,1
ce,,,vai,,ce,,,,,,,2
Ce,,,vai,,Ce,,tié,,,,,3
cecehke,,,com apoio,,cecehke,,,,,,,2
Cecehke,,,com apoio,,Cecehke,,tié tier que,,,,,3
cecehkem,,,caniço,,cecehkem,,,,,,,2
cecehkem,,,que tem apoio,,cecehkem,,,,,,,2
Cecehkem,,,caniço,,Cecehkem,,tié tier qem,,,,,3
Cecehkem,,,que tem apoio,,Cecehkem,,tié tier qem,,,,,3
Cecen,,,lugar reto (rio,,Cecen,,,,,terra); Cecen kawno; ; ,,4
Ceceñai,,,escudo,,Ceceñai,Cece𝐧̂ai,,,,atrás de uma barreira; ; ; ,,4
Cecepe,,,"reto, fino, sem voltar atrás (contando uma história",,Cecepe,,,,,correto (na fala); Cecehno (NMZD) ow; Mîcecentai (VBZD); Você ficou magro,,4
ceekî,,,trouxemos,,ceekî,,,,,,,2
ceekî,,,trouxemos,,ceekî,,,,,,,2
Ceekî,,,trouxemos,,Ceekî,,tié cu,,,,,3
Ceekî,,,trouxemos,,Ceekî,,tié cu,,,,,3
Ceepore,,,cortar num ângulo reto (tábua,,Ceepore,,,,,madeira); ; ; ,,4
Ceesî,,,tipo de capim da mata cujo Caule é quase tão grosso quanto um lápis,,Ceesî,,,,,,,4
ceesom,,,o que se pode beber,,ceesom,,,,,,,2
Ceesom,,,o que se pode beber,,Ceesom,,tié som,,,,,3
Ceetîi,,,esticada (rede),,Ceetîi,,,,,usado para arbustos entortados prontos para voltar à posição ereta; Veja: (t)aatîi; ; ,,4
ceexe,,,estão indo ou estão saindo,,ceexe,,,,,,,2
cehcow,,,trouxemos,,cehcow,,,,,,,2
Cehcow,,,trouxemos,,Cehcow,,tier tiou,,,,,3
cehcowham,,,nos estamos de sorte,,cehcowham,,,,,,,2
Cehcowham,,,nos estamos de sorte,,Cehcowham,,tier tiou ram,,,,,3
čehkukem,9,560,cola,glue,čehkukem,čehkukem,č-ehku-ke-m,Lit. 'adv-having tree liquid-adv'.,,Literalmente. 'ADV-AVAW-TREUTA-ADV LIQUED'.,,1
čehñaxi wiire,17,470,difícil,difficult,čehñaxi wiire,čehɲaxi wiire,č-ehɲa-ši wi-ir-e,Means 'I made it failingly/with difficulty'.,,Significa 'eu fiz isso de forma falha/com dificuldade'.,,1
cehsom,,,existente,,cehsom,,,,,,,2
Cehsom,,,existente,,Cehsom,,tier som,,,,,3
cehsomro,,,que sempre existe para sempre,,cehsomro,,,,,,,2
Cehsomro,,,que sempre existe para sempre,,Cehsomro,,tier som ro,,,,,3
Cehyakata,,,três Pedras ou pedaços de barro duros usados como suporte para colocar potes em cima de uma fogueira,,Cehyakata,,,,,,,4
cehyumaxi,,,com escada,,cehyumaxi,,,,,,,2
Cehyumaxi,,,com escada,,Cehyumaxi,,tier iu maxi,,,,,3
cehyuyem,,,que tem escada,,cehyuyem,,,,,,,2
Cehyuyem,,,que tem escada Cakarka,,Cehyuyem,,tier yuyem,,,,,3
Cei,,,tocar,,Cei,,,,,"eufemismo para relações sexuais, acender um fósforo ou qualquer fogo; ; ; ",,4
Ceipu,,,duro,,Ceipu,,,,,Ceipu nas oko; muito duro; Ficou duro; Ceipuru (NMZD) toopu,,4
Ceixu,,,"queimar, incendiar",,Ceixu,,,,,,,4
cekarkacow,,,nós estamos cansados,,cekarkacow,,,,,,,2
Cekarkacow,,,nos estamos cansados,,Cekarkacow,,tié care ca tiou,,,,,3
cekarkaxi,,,cançado ou cançada,,cekarkaxi,,,,,,,2
Cekarkaxi,,,cançado ou cançada,,Cekarkaxi,,tié car ca xi,,,,,3
čekaymore,16,180,"Boa sorte, sorte","good fortune, luck",čekaymore,čekaymore,č-ekaymo-re,Rarely used.,,Raramente usado.,,1
cekya,,,nos traz,,cekya,,,,,,,2
Cekya,,,nos traz,,Cekya,,tié quia,,,,,3
cekyakñe,,,trazíamos,,cekyakñe,,,,,,,2
Cekyakñe,,,trazíamos,,Cekyakñe,,tié quia de,,,,,3
Cekye,,,Espinho,,Cekye,,,,,Cekyem wapi oku; Pisei num espinho; Kapata é espinhoso; ,,4
Cemaro,,,mentira,,Cemaro,,,,,Cemero me wencesî yîmtapotarî; Acredito que ele está mentindo; Ele está mentindo; Cemarontara wasî,,4
čemaro,21,470,perjúrio,perjury,čemaro,čemaro,čemaro,Means,,Significa,,1
cemarontaxmuro,,,mentiroso,,cemarontaxmuro,,,,,,,2
čemaronwa ,16,670,mentira,"lie, tell lies       ",čemaronwa ,čemaronwa ,∅-čemaro-n-wa-∅ ,Lit. '3rd-tell lies-poss-verbl-uninvolved past'.,,,,1
Cemi,,,piscar o olho,,Cemi,,,,,,,4
čemkutuñe,16,390,gemido,groan,čemkutuñe,čemkutuɲe,č-emkutu-ɲe,Lit. 'adv-groan-adv'.,,Literalmente. 'Adv-Groan-Adv'.,,1
Cemyapore,,,guardando bem as coisas,,Cemyapore,,,,,Cemyapore mem awuhre cirke; Guarde a sua arma um bom lugar; Ele é que guarda bem as suas coisas; ,,4
cemyawnoyem,,,dono de muitos bens,,cemyawnoyem,,,,,,,2
Cemyawnoyem,,,dono de muitos bens,,Cemyawnoyem,,tiem iau no iem,,,,,3
ceñasî,,,vemos,,ceñasî,,,,,,,2
Ceñasî,,,vemos,,Ceñasî,,tié nhá su,,,,,3
Ceñasîyka,,,vou ver,,Ceñasîyka,,tienha su ica,,,,,3
ceñepañem,,,ladrão,,ceñepañem,,,,,,,2
Ceñepañem,,,ladrão ou ladra,,Ceñepañem,,tié nhe fa nhem,,,,,3
čeñepañem,21,520,Ladrão,thief,čeñepañem,čeɲepaɲem,čeɲeΦaɲem,,,,,1
cenepañem bantido,,,com raiz,,cenepañem bantido ou ladão cimiciye,cenepañem bantido ou ladão cimiciye,,,,,,2
ladão cimiciye,,,com raiz,,cenepañem bantido ou ladão cimiciye,cenepañem bantido ou ladão cimiciye,,,,,,2
cenporem,,,maravilha,,cenporem,,,,,,,2
Cenporem,,,maravilha,,Cenporem,,tien porem,,,,,3
čenporem,16,810,bonito,beautiful,čenporem,čenporem,č-en-Φo-re-m,Lit. 'adv-see-good-adv-nominalizer'.,,Literalmente. 'ADV-SEE-Good-Adv-Nominalizador'.,,1
cenposom,,,para mostra,,cenposom,,,,,,,2
Cenposom,,,para mostra,,Cenposom,,tien fo som,,,,,3
censom,,,para olhar,,censom,,,,,,,2
Censom,,,para olhar,,Censom,,tien som,,,,,3
centapore,,,ouça,,centapore,,,,,,,2
Centapore,,,ouça,,Centapore,,tien ta fore,,,,,3
centaporem,,,bom ser ouvido,,centaporem,,,,,,,2
Centaporem,,,bom ser ouvido,,Centaporem,,tien ta forem,,,,,3
centaxmu,,,pessoa ser ouvido ou investigado,,centaxmu,,,,,,,2
Centaxmu,,,pessoa ser ouvido ou investigado,,Centaxmu,,tien tax um,,,,,3
cepahso,,,caído ou espalhado pelo chão,,cepahso,,,,,,,2
Cepahso,,,caído ou espalhado pelo chão,,Cepahso,,tié far so,,,,,3
cepamso,,,aumentado números,,cepamso,,,,,,,2
Cepamso,,,aumentado números,,Cepamso,,tié fam so,,,,,3
cepatasmuyem,,,rosto sujo,,cepatasmuyem,,,,,,,2
Cepatasmuyem,,,rosto sujo,,Cepatasmuyem,,tié fa tas um iem,,,,,3
cepemapore,,,tem que pagar,,cepemapore,,,,,,,2
Cepemapore,,,deve pagar,,Cepemapore,,tié fé mafore,,,,,3
cepemaxi,,,pago,,cepemaxi,,,,,,,2
Cepemaxi,,,pago,,Cepemaxi,,tié fé maxi,,,,,3
ceperayem,,,portador de doença,,ceperayem,,,,,,,2
Ceperayem,,,portador de doença,,Ceperayem,,tié fé ria em,,,,,3
ceperke,,,de fruta,,ceperke,,,,,,,2
Ceperke,,,de fruta,,Ceperke,,tie fer que,,,,,3
ceperkem,,,carregado da fruta,,ceperkem,,,,,,,2
Ceperkem,,,carregado da fruta,,Ceperkem,,tié fer qem,,,,,3
cepetaxmu,,,frutifera,,cepetaxmu,,,,,,,2
Cepetaxmu,,,frutifera,,Cepetaxmu,,tié fé taxmu,,,,,3
čepethîke,11,880,"Caro (caro, caro)","dear (costly, expensive)",čepethîke,čepethîke,č-eΦethɨ-ke,Lit. 'adv-cost-adv'.,,Literalmente. 'Adv-Cost-Adv'.,,1
cepîrkaxi,,,caído,,cepîrkaxi,,,,,,,2
Cepîrkaxi,,,caído,,Cepîrkaxi,,tié fur ca xi,,,,,3
cepocow,,,procuremos,,cepocow,,,,,,,2
Cepocow,,,procuremos,,Cepocow,,tié fo tiou,,,,,3
cepohkaxmu,,,"desejoso, olho gordo",,cepohkaxmu,,,,,,,2
Cepohkaxmu,,,"desejoso, olho gordo",,Cepohkaxmu,,tié for caxmu,,,,,3
cepomoso,,,plantada ou plantio feito,,cepomoso,,,,,,,2
Cepomoso,,,plantada ou plantio feito,,Cepomoso,,tié fo moso,,,,,3
ceporîrî,,,vamos procurar,,ceporîrî,,,,,,,2
Ceporîrî,,,vamos procurar,,Ceporîrî,,tié for uru,,,,,3
Cererepe,,,quebradiço,,Cererepe,,,,,Cererepe tak nasî kaamo ywaw cexirî ke; Seco porque ficou no sol; É quebradiço; Cererepam (VBZD),,4
Cermahka,,,pequeno papagaio verde,,Cermahka,,,,,,,4
cesehcemaxmu,,,paciente,,cesehcemaxmu,,,,,,,2
Cesehcemaxmu,,,paciente,,Cesehcemaxmu,,tié ser tié max um,,,,,3
ceseporî,,,vamos encontrar,,ceseporî,,,,,,,2
Ceseporî,,,se encontramos,,Ceseporî,,tiese foru,,,,,3
cesesmaxi,,,misturados,,cesesmaxi,,,,,,,2
Cesesmaxi,,,misturados,,Cesesmaxi,,tié sés maxi,,,,,3
ceseysom,,,que discuti,,ceseysom,,,,,,,2
Ceseysom,,,que discuti,,Ceseysom,,tié sei som,,,,,3
ceske,,,misturado,,ceske,,,,,,,2
Ceske,,,misturado,,Ceske,,tiés que,,,,,3
cetahkaxmu,,,"fragil, quebrável,",,cetahkaxmu,,,,,,,2
Cetahkaxmu,,,"fragil, quebrável,",,Cetahkaxmu,,tié tar cax mu,,,,,3
cetahworefosom,,,consolavel,,cetahworefosom,,,,,,,2
Cetahworefosom,,,consolavel,,Cetahworefosom,,tié tar uo re fo som,,,,,3
cetîrama,,,lugar de desistir jornada,,cetîrama,,,,,,,2
Cetîrama,,,lugar de desistir jornada,,Cetîrama,,tié tu rama,,,,,3
cetpoxem,,,barbado,,cetpoxem,,,,,,,2
Cetpoxem,,,barbado,,Cetpoxem,,tiet fo xem,,,,,3
cetu,,,vão,,cetu,,,,,,,2
Cetu,,,vão,,Cetu,,tié tu,,,,,3
cetuhmekaxmu,,,que dês ova,,cetuhmekaxmu,,,,,,,2
Cetuhmekaxmu,,,que dês ova,,Cetuhmekaxmu,,tié tur me kaxmu,,,,,3
cetwayihkaxmu,,,suidio,,cetwayihkaxmu,,,,,,,2
Cetwayihkaxmu,,,suidio,,Cetwayihkaxmu,,tiet uair kaxmu,,,,,3
cetwosom,,,atirador,,cetwosom,,,,,,,2
cetwosom,,,soldado ou exercito,,cetwosom,,,,,,,2
Cetwosom,,,atirador,,Cetwosom,,tiet uosom,,,,,3
Cetwosom,,,soldado ou exercito,,Cetwosom,,tiet uo som,,,,,3
cewanomarî,,,vamos cantar,,cewanomarî,,,,,,,2
Cewanomarî,,,cantemos,,Cewanomarî,,tié ua no ma ru,,,,,3
cewanome,,,a gente vai cantar?,,cewanome,,,,,,,2
Cewanome,,,cantamos,,Cewanome,,tié ua no me,,,,,3
Cewararî,,,inteiro- em um só pedaço,,Cewararî,,,,,Cewarari rma eeko; Traga tudo num pedaço Cewararino eeko; ; ,,4
Cewawkuna,,,Tipo de veneno para peixe (umawa),,Cewawkuna,,,,,O veneno não muito forte; Veja: yarpocic:; ; ,,4
cewaxke,,,teso ou duro,,cewaxke,,,,,,,2
Cewaxke,,,teso ou duro,,Cewaxke,,tié uax que,,,,,3
Cewnapo,,,"rosto, abertura para o chão",,Cewnapo,,,,,Cewnapo nasî; (A canoa) virada; ; ,,4
Cewñe,,,Um sozinho,,Cewñe,,,,,"Cewñe kyam kîwcesî; Vou sozinho, eu suponho; traga só um Cewñan (NMZD) mîkro; Ele nasceu só (não eram gémeos)",,4
čewñe,13,10,um,one,čewñe,čewɲe,čewɲe,,,,,1
čewñe makî,13,330,"sozinho, apenas","alone, only",čewñe makî,čewɲe makî,čewɲe makɨ,Lit. 'one only'.,,Literalmente. 'apenas um'.,,1
čewñe sunti,14,610,semana,week,čewñe sunti,čewɲe sunti,čewɲe sunti,From English 'Sunday'.,,Do inglês 'domingo'.,,1
cewomso,,,dentro,,cewomso,,,,,,,2
Cewomso,,,dentro,,Cewomso,,tié uom so,,,,,3
Cewru,,,apontando na direção certa,,Cewru,Cew𝐧̂e,,,,Xiya cewru esko; Aponte nesta direção; ; ,,4
Cewyaro,,,sozinho,,Cewyaro,,,,,Cewyaro cirko; Coloque sozinho; Conte para aquelas pessoas que vivem sozinhas; ,,4
Cewyowe,,,passarinho com peito amarelo como ciripipi,,Cewyowe,,,,,,,4
Cexe,,,estão indo ou estão saindo,,Cexe,,tié xe,,,,,3
cexewekem,,,amarelo,,cexewekem,,,,,,,2
Cexewekem,,,amarelo,,Cexewekem,,tié xe eu qem,,,,,3
cexewnuso,,,inforcado,,cexewnuso,,,,,,,2
Cexewnuso,,,inforcado,,Cexewnuso,,tié xeu nu so,,,,,3
ceyamso,,,"escondido, ou enterrado",,ceyamso,,,,,,,2
Ceyamso,,,"escondido, ou enterrado",,Ceyamso,,tié iam so,,,,,3
ceypam,,,endureceu,,ceypam,,,,,,,2
Ceypam,,,endureceu,,Ceypam,,tiei fam,,,,,3
ceypî,,,duro,,ceypî,,,,,,,2
Ceypî,,,duro,,Ceypî,,tiei fu,,,,,3
čeypu,15,740,Difícil,hard,čeypu,čeypu,čeyΦu,,,,,1
Che,,,entre (Afixação: cheka- chere,,Che,,,,,"chey (raro), chekan, chewno); Wapixana komo chew nasî; Acheka mohxapu komo wakrecoko; Sejam bons para estranhos que estão entre vocês",,4
Chow,,,pegar,,Chow,,,,,Chow kasko; Pague-o; ; ,,4
cicakî,,,orvalho,,cicakî,,,,,,,2
Cicakî,,,orvalho,,Cicakî,,ti tia cu,,,,,3
Cicakî,,,orvalho,,Cicakî,,,,,Cicakî wekama; O orvalho me deixou molhado; Tem Orvalho na grama; ,,4
čičakî,1,640,orvalho,dew     ,čičakî,čičakî,čičakɨ,,,,,1
cicañe,,,cuidao para não tocar,,cicañe,,,,,,,2
Cicañe,,,cuidao para não tocar,,Cicañe,,ti tia nhe,,,,,3
Cicañe,,,cuidadosamente,,Cicañe,,,,,Cicañe ahsîko; Segure cuidadosamente; ; ,,4
cicipiye,,,"roxo, carne batido",,cicipiye,,,,,,,2
Cicipiye,,,"roxo, carne batido",,Cicipiye,,titi fie,,,,,3
ciciřmai,,,preta (nuvem),,ciciřmai,Cica𝐧̂e,,,,ciciřmaiem; coisa preta; ; ,,4
Cicka,,,"Raspar, limpar - Usado somente em palavras compostas",,Cicka,cici𝐫̂mai,,,,Ehtacickakî (INZD); Limpe os seus pés; Limpe o (sangue) em você; Veja: icka,,4
Cicwiye,,,Preta,,Cicwiye,,,,,Cicwiye nasî; É preto; fuligem no Lado de fora de um pote; ,,4
čičwiye,15,650,Preto,black,čičwiye,čičwiye,či-čwi-ye,Lit. 'adv-black-adv'.,,Literalmente. 'Adv-Black-Adv'.,,1
cicwiyem,,,cor preto,,cicwiyem,,,,,,,2
